EmpID	Name	Age	Department	Salary	Experience
1001	Sneha Sharma	39	Sales	45401	7
1002	Sneha Kumar	49	IT	28124	0
1003	Neha Sharma	34	Engineering	40488	3
1004	Arjun Sharma	32	Engineering	42973	5
1005	Karan Nair	28	HR	35200	3
1006	Divya Verma	24	Support	33247	2
1007	Sanjay Kumar	40	Operations	73268	18
1008	Rahul Patel	36	Marketing	40369	1
1009	Sneha Menon	39	Support	55491	11
1010	Divya Mehta	39	HR	47330	5
1011	Neha Gupta	51	Engineering	64790	8
1012	Neha Nair	25	Sales	36660	0
1013	Sanjay Verma	26	Sales	50021	4
1014	Rohan Mehta	53	Engineering	98107	29
1015	Vikram Rao	38	Engineering	62687	12
1016	Vikram Malhotra	27	IT	28834	0
1017	Ananya Bose	26	Engineering	42688	3
1018	Aditya Verma	22	HR	36223	0
1019	Rohan Reddy	40	Engineering	45963	5
1020	Arjun Gupta	54	HR	95841	19
1021	Karan Singh	45	Finance	92901	17
1022	Aarav Nair	53	IT	60402	7
1023	Pooja Rao	25	Sales	28027	0
1024	Lakshmi Kumar	30	Finance	60740	7
1025	Ananya Verma	55	Engineering	79472	13
1026	Karan Desai	47	Operations	81889	14
1027	Aditya Reddy	37	Sales	36233	2
1028	Neha Rao	22	HR	29747	0
1029	Priya Nair	26	Sales	40865	2
1030	Karan Singh	52	Sales	100749	25
1031	Meera Mehta	28	HR	45577	5
1032	Meera Bose	51	IT	95814	21
1033	Sneha Patel	47	Operations	115131	25
1034	Neha Mehta	34	Support	37406	2
1035	Arjun Chopra	37	HR	79508	14
1036	Sneha Patel	22	HR	28995	0
1037	Lakshmi Malhotra	35	Engineering	28975	0
1038	Aarav Menon	38	Support	56133	9
1039	Lakshmi Singh	34	Marketing	48280	3
1040	Priya Nair	25	IT	41292	3
1041	Ananya Patel	54	HR	53325	11
1042	Rahul Rao	47	HR	74886	18
1043	Priya Kumar	48	Operations	49085	8
1044	Rohan Rao	38	Engineering	46747	4
1045	Pooja Chopra	42	HR	32499	0
1046	Sneha Kumar	35	Marketing	44565	2
1047	Rahul Rao	45	Marketing	45699	5
1048	Pooja Sharma	41	HR	40231	4
1049	Sneha Singh	39	Marketing	53417	6
1050	Karan Verma	54	Support	88349	16
1051	Priya Kumar	49	Marketing	29296	1
1052	Vikram Verma	32	Support	59113	8
1053	Aarav Reddy	26	Finance	36576	4
1054	Divya Singh	49	Finance	33257	1
1055	Priya Iyer	35	Sales	51761	10
1056	Meera Singh	37	Finance	53234	5
1057	Aarav Gupta	43	Engineering	102764	21
1058	Neha Verma	32	HR	56199	6
1059	Lakshmi Rao	34	Support	43438	5
1060	Neha Rao	23	Sales	33517	1
1061	Rahul Verma	44	Engineering	106627	21
1062	Rohan Sharma	29	Marketing	39628	2
1063	Arjun Patel	28	Engineering	41699	2
1064	Rohan Bose	54	HR	113382	24
1065	Karan Verma	24	Engineering	33239	0
1066	Karan Iyer	49	HR	104635	21
1067	Rohan Reddy	41	Marketing	64404	13
1068	Pooja Singh	34	Engineering	70188	10
1069	Ananya Desai	47	IT	53275	9
1070	Meera Nair	51	Support	76066	14
1071	Lakshmi Gupta	27	Marketing	46621	4
1072	Rohan Kumar	37	Marketing	58074	7
1073	Vikram Sharma	24	Sales	37196	1
1074	Rahul Chopra	48	Sales	100176	22
1075	Lakshmi Menon	37	Finance	37711	0
1076	Sneha Bose	36	Finance	76991	12
1077	Aditya Patel	37	HR	61966	14
1078	Aditya Nair	50	Engineering	119960	26
1079	Aditya Gupta	52	Support	60035	8
1080	Arjun Malhotra	37	Marketing	60514	14
1081	Pooja Rao	39	Operations	69146	10
1082	Rahul Singh	31	Sales	52991	6
1083	Karan Kumar	48	Engineering	61437	10
1084	Meera Patel	35	Engineering	56787	6
1085	Aarav Menon	52	IT	109273	30
1086	Sanjay Bose	36	Support	37844	3
1087	Lakshmi Sharma	46	Operations	96661	21
1088	Sanjay Gupta	51	Finance	86307	19
1089	Sanjay Sharma	27	Engineering	40519	1
1090	Ananya Patel	38	Engineering	54156	10
1091	Rohan Nair	46	Marketing	115243	24
1092	Meera Verma	27	Support	35988	0
1093	Priya Iyer	36	HR	76974	12
1094	Priya Sharma	37	Sales	34456	0
1095	Neha Singh	52	HR	95932	18
1096	Aditya Verma	45	Finance	88574	19
1097	Sneha Gupta	41	HR	68270	18
1098	Pooja Menon	47	Sales	39789	2
1099	Neha Reddy	41	HR	90979	18
1100	Divya Bose	45	HR	81131	16
