EmpID,Name,Age,Department,Salary,Experience
1001,Aarav Sharma,22.0,,35000.0,
1002,Rohan Reddy,23.0,HR,36200.0,1.0
1003,Vikram Patel,24.0,Finance,37400.0,2.0
1004,Kiran Kumar,25.0,Sales,38600.0,3.0
1005,Rahul Verma,26.0,Marketing,39800.0,4.0
1006,Suresh Naidu,27.0,IT,,5.0
1007,Arjun Singh,,HR,42200.0,6.0
1008,,29.0,Finance,43400.0,7.0
1009,Prakash Yadav,30.0,Sales,,8.0
1010,Manoj Gupta,31.0,Marketing,45800.0,9.0
1011,Deepak Joshi,,IT,47000.0,10.0
1012,Sai Teja,33.0,HR,48200.0,11.0
1013,Anil Kumar,34.0,Finance,49400.0,
1014,Ravi Chandra,35.0,Sales,50600.0,13.0
1015,Harish Babu,36.0,Marketing,51800.0,14.0
1016,Venu Gopal,37.0,IT,53000.0,0.0
1017,Ajay Krishna,38.0,HR,54200.0,1.0
1018,Pavan Kalyan,39.0,Finance,55400.0,2.0
1019,Karthik Reddy,40.0,Sales,56600.0,3.0
1020,Lokesh Rao,41.0,Marketing,57800.0,4.0
1021,Aarav Sharma,22.0,IT,59000.0,5.0
1022,Rohan Reddy,23.0,HR,60200.0,6.0
1023,Vikram Patel,24.0,Finance,61400.0,7.0
1024,Kiran Kumar,25.0,Sales,62600.0,8.0
1025,Rahul Verma,26.0,Marketing,63800.0,9.0
1026,Suresh Naidu,27.0,IT,65000.0,10.0
1027,Arjun Singh,28.0,HR,66200.0,11.0
1028,Naveen Rao,29.0,Finance,67400.0,12.0
1029,Prakash Yadav,30.0,,68600.0,13.0
1030,Manoj Gupta,,Marketing,69800.0,14.0
1031,Deepak Joshi,32.0,IT,71000.0,0.0
1032,Sai Teja,33.0,HR,72200.0,1.0
1033,Anil Kumar,,Finance,73400.0,
1034,Ravi Chandra,35.0,Sales,74600.0,3.0
1035,Harish Babu,36.0,Marketing,75800.0,
1036,Venu Gopal,37.0,IT,77000.0,
1037,Ajay Krishna,38.0,HR,78200.0,6.0
1038,Pavan Kalyan,39.0,Finance,,7.0
1039,Karthik Reddy,40.0,Sales,80600.0,8.0
1040,Lokesh Rao,41.0,Marketing,81800.0,9.0
1041,Aarav Sharma,22.0,IT,83000.0,10.0
1042,Rohan Reddy,23.0,HR,84200.0,11.0
1043,Vikram Patel,,Finance,85400.0,12.0
1044,Kiran Kumar,25.0,Sales,86600.0,13.0
1045,Rahul Verma,26.0,Marketing,,14.0
1046,Suresh Naidu,27.0,,89000.0,0.0
1047,Arjun Singh,28.0,HR,90200.0,1.0
1048,Naveen Rao,29.0,Finance,91400.0,
1049,Prakash Yadav,30.0,Sales,92600.0,3.0
1050,Manoj Gupta,31.0,Marketing,93800.0,4.0
1051,Deepak Joshi,32.0,IT,95000.0,5.0
1052,Sai Teja,33.0,HR,96200.0,6.0
1053,Anil Kumar,34.0,Finance,97400.0,7.0
1054,Ravi Chandra,35.0,Sales,98600.0,8.0
1055,Harish Babu,36.0,Marketing,99800.0,9.0
1056,Venu Gopal,37.0,IT,101000.0,10.0
1057,,38.0,HR,102200.0,
1058,Pavan Kalyan,39.0,Finance,103400.0,12.0
1059,Karthik Reddy,,Sales,104600.0,13.0
1060,Lokesh Rao,41.0,Marketing,105800.0,14.0
1061,Aarav Sharma,22.0,IT,107000.0,0.0
1062,Rohan Reddy,23.0,HR,108200.0,1.0
1063,Vikram Patel,24.0,Finance,109400.0,2.0
1064,Kiran Kumar,25.0,Sales,110600.0,3.0
1065,Rahul Verma,26.0,Marketing,111800.0,4.0
1066,Suresh Naidu,27.0,IT,113000.0,5.0
1067,Arjun Singh,28.0,HR,114200.0,6.0
1068,Naveen Rao,29.0,Finance,115400.0,7.0
1069,Prakash Yadav,,,116600.0,8.0
1070,Manoj Gupta,31.0,Marketing,117800.0,
1071,,32.0,IT,119000.0,10.0
1072,Sai Teja,33.0,,120200.0,
1073,Anil Kumar,,Finance,121400.0,12.0
1074,Ravi Chandra,35.0,Sales,122600.0,13.0
1075,Harish Babu,36.0,Marketing,123800.0,14.0
1076,Venu Gopal,37.0,IT,125000.0,0.0
1077,Ajay Krishna,38.0,HR,126200.0,1.0
1078,Pavan Kalyan,,Finance,127400.0,
1079,Karthik Reddy,40.0,Sales,128600.0,3.0
1080,Lokesh Rao,41.0,Marketing,129800.0,4.0
1081,Aarav Sharma,22.0,IT,131000.0,5.0
1082,Rohan Reddy,23.0,HR,132200.0,6.0
1083,Vikram Patel,24.0,Finance,133400.0,7.0
1084,Kiran Kumar,,Sales,134600.0,8.0
1085,Rahul Verma,26.0,Marketing,135800.0,9.0
1086,Suresh Naidu,27.0,IT,,10.0
1087,Arjun Singh,28.0,HR,138200.0,11.0
1088,Naveen Rao,29.0,Finance,139400.0,12.0
1089,Prakash Yadav,30.0,Sales,140600.0,13.0
1090,Manoj Gupta,31.0,Marketing,141800.0,14.0
1091,Deepak Joshi,32.0,IT,,0.0
1092,Sai Teja,33.0,HR,,1.0
1093,Anil Kumar,34.0,Finance,145400.0,2.0
1094,Ravi Chandra,35.0,Sales,146600.0,3.0
1095,Harish Babu,36.0,Marketing,147800.0,4.0
1096,Venu Gopal,37.0,IT,149000.0,5.0
1097,Ajay Krishna,38.0,HR,150200.0,6.0
1098,Pavan Kalyan,39.0,Finance,151400.0,7.0
1099,Karthik Reddy,,Sales,152600.0,8.0
1100,Lokesh Rao,41.0,Marketing,153800.0,9.0
